Academy,Course Code,Course Item,Activity Name,Activity Type,Trainee Masked,Result,Percentage,Attempt,Date
Frankfurt,F-21-FOU-01,Professional Skills,Core - Pro Skills - Interview,Standard,Trainee 1491,76,0.95,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 2441,95,0.95,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Exam - March 2017,Standard,Trainee 2466,94,0.94,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,Core - Pro Skills - Interview,Standard,Trainee 666,75,0.9375,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Presentation Assessment 2021,Standard,Trainee 666,56,0.9333,1,08/01/2021 00:00
Hong Kong,H-20-PSO-01,BA,PSO Internal BA Exam,Standard,Trainee 2630,93,0.93,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 1896,93,0.93,1,08/01/2021 00:00
Glasgow,G-20-PSO-04,BA Class,PSO Internal BA Exam,Standard,Trainee 2637,93,0.93,1,08/01/2021 00:00
Glasgow,G-20-PSO-04,BA Class,PSO Internal BA Exam,Standard,Trainee 2642,93,0.93,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 1788,93,0.93,1,08/01/2021 00:00
Hong Kong,H-20-JAV-04,Java Week 5 - Group Project 2,Java Marking Scheme,Standard,Trainee 2681,93,0.93,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 2241,93,0.93,1,08/01/2021 00:00
Sydney,SY-20-TEC-02,OS Admin,General Marking Scheme,Standard,Trainee 2439,93,0.93,1,08/01/2021 00:00
Sydney,SY-20-TEC-02,OS Admin,General Marking Scheme,Standard,Trainee 2509,93,0.93,1,08/01/2021 00:00
Toronto,T-20-TST-02,Manual Testing/ISTQB,ISEB/ISTQB Foundation Exam,External,Trainee 2697,37,0.925,1,08/01/2021 00:00
Toronto,T-20-TST-02,Manual Testing/ISTQB,ISEB/ISTQB Foundation Exam,External,Trainee 2698,37,0.925,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 448,92,0.92,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 560,92,0.92,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 823,92,0.92,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 2186,92,0.92,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Project - March 2017,Standard,Trainee 2727,92,0.92,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 1071,92,0.92,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Project - March 2017,Standard,Trainee 2403,92,0.92,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 2743,92,0.92,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 1245,92,0.92,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 1958,92,0.92,1,08/01/2021 00:00
Sydney,SY-20-OOD-09,Object Orientated Development Week 4,OOD Marking Scheme,Standard,Trainee 1504,92,0.92,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 1972,92,0.92,1,08/01/2021 00:00
Sydney,SY-20-OOD-09,Object Orientated Development Week 4,OOD Marking Scheme,Standard,Trainee 1544,92,0.92,1,08/01/2021 00:00
Hong Kong,H-20-JAV-04,Java Week 5 - Group Project 2,Java Marking Scheme,Standard,Trainee 2754,92,0.92,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Presentation Assessment 2021,Standard,Trainee 2784,55,0.9167,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Written Assessment 2021,Standard,Trainee 2784,55,0.9167,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Presentation Assessment 2021,Standard,Trainee 1834,55,0.9167,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 255,91,0.91,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Project - March 2017,Standard,Trainee 2466,91,0.91,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Project - March 2017,Standard,Trainee 2803,91,0.91,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 1138,91,0.91,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 1570,91,0.91,1,08/01/2021 00:00
Toronto,T-21-JAV-02,OOD 1,OOD Marking Scheme,Standard,Trainee 97,90,0.9,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 2139,90,0.9,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 304,90,0.9,1,08/01/2021 00:00
Toronto,T-21-JAV-02,OOD 1,OOD Marking Scheme,Standard,Trainee 2150,90,0.9,1,08/01/2021 00:00
Sydney,SY-20-JAV-08,Java Week 4,Solo Project,Standard,Trainee 650,90,0.9,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 655,90,0.9,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Presentation Assessment 2021,Standard,Trainee 665,54,0.9,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,Core - Pro Skills - Interview,Standard,Trainee 665,72,0.9,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 1789,90,0.9,1,08/01/2021 00:00
Sydney,SY-20-TEC-02,OS Admin,General Marking Scheme,Standard,Trainee 2201,90,0.9,1,08/01/2021 00:00
Sydney,SY-20-JAV-08,Java Week 4,Solo Project,Standard,Trainee 960,90,0.9,1,08/01/2021 00:00
Toronto,T-21-JAV-02,OOD 1,OOD Marking Scheme,Standard,Trainee 2208,90,0.9,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 2912,90,0.9,1,08/01/2021 00:00
Toronto,T-21-JAV-02,OOD 1,OOD Marking Scheme,Standard,Trainee 1938,90,0.9,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 1194,90,0.9,1,08/01/2021 00:00
Toronto,T-21-JAV-02,OOD 1,OOD Marking Scheme,Standard,Trainee 2939,90,0.9,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 1371,90,0.9,1,08/01/2021 00:00
Hong Kong,H-20-PSO-01,BA,PSO Internal BA Exam,Standard,Trainee 2945,90,0.9,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 1445,90,0.9,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 2505,90,0.9,1,08/01/2021 00:00
Toronto,T-21-JAV-02,OOD 1,OOD Marking Scheme,Standard,Trainee 2507,90,0.9,1,08/01/2021 00:00
Hong Kong,H-20-OOD-06,Object Orientated Development Week 1,OOD Marking Scheme,Standard,Trainee 2251,90,0.9,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 512,89,0.89,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Written Assessment 2021,Standard,Trainee 1832,53,0.8833,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 57,88,0.88,1,08/01/2021 00:00
Hong Kong,H-20-PSO-01,BA,PSO Internal BA Exam,Standard,Trainee 2551,88,0.88,1,08/01/2021 00:00
Sydney,SY-20-OOD-09,Object Orientated Development Week 4,OOD Marking Scheme,Standard,Trainee 200,88,0.88,1,08/01/2021 00:00
Hong Kong,H-20-PSO-01,BA,PSO Internal BA Exam,Standard,Trainee 2707,88,0.88,1,08/01/2021 00:00
Sydney,SY-20-OOD-09,Object Orientated Development Week 4,OOD Marking Scheme,Standard,Trainee 400,88,0.88,1,08/01/2021 00:00
Sydney,SY-20-JAV-08,Java Week 4,Solo Project,Standard,Trainee 413,88,0.88,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 822,88,0.88,1,08/01/2021 00:00
Sydney,SY-20-JAV-08,Java Week 4,Solo Project,Standard,Trainee 1056,88,0.88,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Exam - March 2017,Standard,Trainee 2403,88,0.88,1,08/01/2021 00:00
Hong Kong,H-20-FOU-15,BA,PSO Internal BA Exam,Standard,Trainee 2426,88,0.88,1,08/01/2021 00:00
Frankfurt,F-20-BAT-06,Business Analysis,Business Analyst Foundation Certificate,External,Trainee 3039,35,0.875,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,Core - Pro Skills - Interview,Standard,Trainee 1834,70,0.875,1,08/01/2021 00:00
Sydney,SY-20-TEC-02,OS Admin,General Marking Scheme,Standard,Trainee 782,87,0.87,1,08/01/2021 00:00
Sydney,SY-20-TEC-02,OS Admin,General Marking Scheme,Standard,Trainee 892,87,0.87,1,08/01/2021 00:00
Sydney,SY-20-TEC-02,OS Admin,General Marking Scheme,Standard,Trainee 2196,87,0.87,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,Core - Pro Skills - Interview,Standard,Trainee 1832,69,0.8625,1,08/01/2021 00:00
Glasgow,G-20-PSO-04,BA Class,PSO Internal BA Exam,Standard,Trainee 2851,86,0.86,1,08/01/2021 00:00
London,L-20-GB2B-05,Excel,EXCEL Project - March 2017,Standard,Trainee 3101,86,0.86,1,08/01/2021 00:00
Sydney,SY-20-JAV-08,Java Week 4,Solo Project,Standard,Trainee 1197,86,0.86,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 22,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 2280,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 129,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 2307,85,0.85,1,08/01/2021 00:00
Hong Kong,H-20-PSO-01,BA,PSO Internal BA Exam,Standard,Trainee 3122,85,0.85,1,08/01/2021 00:00
Hong Kong,H-20-JAV-04,Java Week 5 - Group Project 2,Java Marking Scheme,Standard,Trainee 3125,85,0.85,1,08/01/2021 00:00
Hong Kong,H-20-JAV-04,Java Week 5 - Group Project 2,Java Marking Scheme,Standard,Trainee 3098,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 850,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 1924,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 857,85,0.85,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 2730,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 1007,85,0.85,1,08/01/2021 00:00
Leeds,LE-20-FOU-16,Business Analysis & PM (& Agile training),General Marking Scheme,Standard,Trainee 2410,85,0.85,1,08/01/2021 00:00
